material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2276208,D,7290,TEST,TEST LEAK/FILL,EO Int,675,26,4,315.2,0.6,0.5,96.1%,99.4%
2276208,D,7375,TEST,TEST PRE-VIBE,EO Int,671,173,58,747.3,0.9,1.1,74.2%,91.4%
2276208,D,7400,TEST,TEST - CAL TERMS VERIFICATION,EO Int,669,2,,163.9,0.2,0.2,99.7%,100.0%
2276208,D,7475,TEST,TEST THERM,EO Int,665,169,48,1168.3,0.5,1.8,74.6%,92.8%
2276208,D,7485,TEST,TEST VIBE,EO Int,663,84,9,383.3,0.6,0.6,87.3%,98.6%
2276208,D,7500,ASSEMBLY,ASSEMBLE MISSILE BATTERY,EO Int,663,14,9,397,,0.6,97.9%,98.6%
2276208,D,7600,ASSEMBLY,ASSEMBLE SCREWS TORQUE,EO Int,661,0,,150.2,,0.2,100.0%,100.0%
2276208,D,7860,TEST,TEST BASELINE,EO Int,651,94,9,422.3,1.4,0.6,85.6%,98.6%
2276208,D,7875,TEST,TEST ACCEPTANCE,EO Int,650,21,,174.8,0.8,0.3,96.8%,100.0%
2276208,D,7890,TEST,TEST BATTERY CHECK,EO Int,650,0,,98.9,0.2,0.2,100.0%,100.0%
2276208,D,7920,ASSEMBLY,BATTERY TOUCH-UP,EO Int,649,0,,198.7,,0.3,100.0%,100.0%
2276208,D,7979,INSPECTION,FINAL INSPECTION,EO Int,659,17,10,,,0.0,97.4%,98.5%
2276208,D,7980,INSPECTION,FINAL INSPECTION - CABS UPDATE,EO Int,659,1,,,,0.0,99.8%,100.0%
,,,,,,,,,,,,,
2212900-13,E,3,ASSEMBLY,,EOPC Seekers,662,1,,,,0.0,99.8%,100.0%
2212900-13,E,6200,ASSEMBLY,ASSEMBLY,EOPC Seekers,697,2,,293.4,,0.4,99.7%,100.0%
2212900-13,E,6300,ASSEMBLY,TEST,EOPC Seekers,697,20,8,708.4,,1.0,97.1%,98.9%
2212900-13,E,6400,ASSEMBLY,ASSEMBLY,EOPC Seekers,697,0,,334.2,,0.5,100.0%,100.0%
2212900-13,E,6510,TEST,TEST,EOPC Seekers,698,77,10,729.7,0.3,1.0,89.0%,98.6%
2212900-13,E,6525,TEST,TEST,EOPC Seekers,697,0,,183.8,0.3,0.3,100.0%,100.0%
